2026-05-09 00:28:02 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2025-12-27 vs 2024-12-28
2026-05-09 00:28:16 | INFO    | process_company:2664 |     ✓ [FULL|Q=75|tier=silver|decum=True|qa=True]: 1328 chars
2026-05-09 00:28:19 | INFO    | process_company:2682 |     ✓ Negative examples: 1 scenarios
2026-05-09 00:28:19 | INFO    | process_company:2553 |   ▶ 10-Q | 2026-03-28 | 0000320193-26-000013
2026-05-09 00:28:20 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:20 | DEBUG   | get_narrative_doc:1242 |   Fast-path (976KB, score=24): aapl-20260328.htm
2026-05-09 00:28:21 | INFO    | scrape_text_sections:1367 |     Strategy-1 sections: 2/5 (item_score=24)
2026-05-09 00:28:21 | INFO    | scrape_text_sections:1392 |     Final sections: 2/5 | MD&A quality: poor (85 chars)
2026-05-09 00:28:21 | INFO    | process_company:2607 |     Metrics: 46 | decum: False
2026-05-09 00:28:21 | DEBUG   | compute_quarter_aligned_yoy:1709 |     Quarter-aligned YoY: 2026-03-28 vs 2025-03-29
2026-05-09 00:28:31 | INFO    | process_company:2664 |     ✓ [FULL|Q=40|tier=bronze|decum=False|qa=True]: 1392 chars
2026-05-09 00:28:31 | INFO    | get_filings:1212 |   8-K: 8 filings
2026-05-09 00:28:31 | INFO    | process_company:2553 |   ▶ 8-K | 2025-07-31 | 0000320193-25-000071
2026-05-09 00:28:32 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:32 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000032019325000071/0000320193-25-000071-index.json
2026-05-09 00:28:39 | INFO    | process_company:2587 |     ✓ 8-K [Q=90|tier=gold]: 1285 chars
2026-05-09 00:28:39 | INFO    | process_company:2553 |   ▶ 8-K | 2025-10-30 | 0000320193-25-000077
2026-05-09 00:28:40 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:40 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000032019325000077/0000320193-25-000077-index.json
2026-05-09 00:28:47 | INFO    | process_company:2587 |     ✓ 8-K [Q=90|tier=gold]: 1137 chars
2026-05-09 00:28:47 | INFO    | process_company:2553 |   ▶ 8-K | 2025-12-04 | 0001140361-25-044561
2026-05-09 00:28:47 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:48 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000114036125044561/0001140361-25-044561-index.json
2026-05-09 00:28:53 | INFO    | process_company:2587 |     ✓ 8-K [Q=90|tier=gold]: 1099 chars
2026-05-09 00:28:53 | INFO    | process_company:2553 |   ▶ 8-K | 2025-12-30 | 0001140361-26-000199
2026-05-09 00:28:54 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:54 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000114036126000199/0001140361-26-000199-index.json
2026-05-09 00:28:55 | WARNING | get_8k_content:1329 |   8-K no content: 0001140361-26-000199
2026-05-09 00:28:55 | DEBUG   | process_company:2589 |     8-K not material
2026-05-09 00:28:55 | INFO    | process_company:2553 |   ▶ 8-K | 2026-01-29 | 0000320193-26-000005
2026-05-09 00:28:55 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:28:55 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000032019326000005/0000320193-26-000005-index.json
2026-05-09 00:29:00 | INFO    | process_company:2587 |     ✓ 8-K [Q=90|tier=gold]: 1154 chars
2026-05-09 00:29:00 | INFO    | process_company:2553 |   ▶ 8-K | 2026-02-24 | 0001140361-26-006577
2026-05-09 00:29:01 | DEBUG   | fetch_abnormal_return:512 |   yfinance error for AAPL: float() argument must be a string or a real number, not 'Series'
2026-05-09 00:29:01 | DEBUG   | get:1128 | HTTP 404: s/edgar/data/320193/000114036126006577/0001140361-26-006577-index.json
2026-05-09 00:29:02 | DEBUG   | process_company:2589 |     8-K not material
2026-05-09 00:29:02 | INFO    | process_company:2553 |   ▶ 8-K | 2026-04-17 | 0001140361-26-015711
