2026-05-11 23:02:05 | INFO    | build_dataset:4361 | Resume mode: 0 tickers done, 3 remaining, 0 accessions cached
2026-05-11 23:02:05 | INFO    | process_company:3784 | ══ AAPL (Apple Inc) ══
2026-05-11 23:05:31 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4751 chars
2026-05-11 23:05:31 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:05:31 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:05:31 | INFO    | process_company:3898 |     Metrics:44 | decum:False | text_sourced:0 | sections:2
2026-05-11 23:05:41 | DEBUG   | _call_llm_once:3107 |     LLM OK — Stage-B attempt 1/5 | llm_calls=20, throttled=2, rpm=40/40, backoff=1.00, workers=2
2026-05-11 23:05:41 | DEBUG   | generate_analysis_v19:3234 |     V19-3 Auditor: approved on cycle 0 (gold_ready, no audit needed)
2026-05-11 23:05:41 | INFO    | process_company:4064 |     ✓ FULL [10-K|Q=100|tier=gold|auditor_cycles=0|causal=8]: 2507 chars
2026-05-11 23:05:41 | INFO    | process_company:3811 |   ▶ 10-K | 2024-09-28 | 0000320193-24-000123
2026-05-11 23:05:42 | DEBUG   | fetch_abnormal_return:1146 |   AR AAPL: stock=+1.93% SPY=+4.75% abnormal=-2.83%
2026-05-11 23:05:42 | INFO    | process_company:3828 |     AR: -2.83% (negative)
2026-05-11 23:05:43 | INFO    | scrape_text_sections:2187 |     Strategy-1 sections: 1/6
2026-05-11 23:05:43 | INFO    | scrape_text_sections:2197 |     Strategy-2 Risk fallback: 4897 chars
2026-05-11 23:05:43 | INFO    | scrape_text_sections:2206 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-11 23:05:43 | INFO    | enrich_thin_mda:1655 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-11 23:05:43 | INFO    | process_company:3898 |     Metrics:46 | decum:False | text_sourced:0 | sections:2
