2026-05-10 16:34:09 | INFO    | process_company:2928 |     ✓ [FULL|Q=60|tier=bronze|gold=False|decum=False|qa=False|path=Leverage → Liquidity → Risk-Return Asses]: 2043 chars
2026-05-10 16:34:09 | DEBUG   | process_company:2934 |     Elite rejections: ["REQ-2: missing ['net_income_yoy', 'gross_margin_delta']", 'REQ-7: invalid/incomplete investment signal']
2026-05-10 16:34:09 | INFO    | process_company:2764 |   ▶ 10-Q | 2024-03-30 | 0000320193-24-000069
2026-05-10 16:34:10 | DEBUG   | fetch_abnormal_return:730 |   AR AAPL: stock=-0.04% SPY=+1.87% abnormal=-1.91%
2026-05-10 16:34:10 | INFO    | process_company:2777 |     AR: -1.91% (neutral)
2026-05-10 16:34:12 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 1/6
2026-05-10 16:34:12 | INFO    | scrape_text_sections:1600 |     Strategy-2 Risk fallback: 5421 chars
2026-05-10 16:34:12 | INFO    | scrape_text_sections:1611 |     Final sections: 2/6 | MD&A: poor (85 chars)
2026-05-10 16:34:12 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 4134 chars
2026-05-10 16:34:12 | INFO    | process_company:2823 |     Metrics: 43 | decum: False | text_sections: 2
2026-05-10 16:34:12 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 2/5
2026-05-10 16:34:12 | INFO    | scrape_text_sections:1611 |     Final sections: 2/5 | MD&A: poor (85 chars)
2026-05-10 16:34:12 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 2193 chars
2026-05-10 16:34:12 | INFO    | process_company:2823 |     Metrics: 46 | decum: False | text_sections: 2
2026-05-10 16:34:13 | WARNING | generate_analysis_v18:2304 |     Stage A failed: [429] Too Many Requests
{'status': 429, 'title': 'Too Many Requests'}. Proceeding without causal chains.
2026-05-10 16:34:15 | INFO    | generate_analysis_v18:2353 |     V18-3 Self-correction: causal=3, missing=['capex']
2026-05-10 16:34:15 | WARNING | _call_llm:2331 |   429 → sleep 69.8s (attempt 1)
2026-05-10 16:34:16 | DEBUG   | generate_analysis_v18:2302 |     Stage A: 923 chars, 3 causal
2026-05-10 16:34:29 | INFO    | process_company:2928 |     ✓ [FULL|Q=90|tier=gold|gold=True|decum=False|qa=True|path=Revenue Trend → Margin Structure → Cash ]: 2122 chars
2026-05-10 16:34:29 | DEBUG   | process_company:2934 |     Elite rejections: ['REQ-7: invalid/incomplete investment signal']
2026-05-10 16:34:30 | INFO    | get_filings:1486 |   10-Q: 8 filings
2026-05-10 16:34:30 | INFO    | process_company:2764 |   ▶ 10-Q | 2023-12-31 | 0000950170-24-008814
2026-05-10 16:34:31 | DEBUG   | fetch_abnormal_return:730 |   AR MSFT: stock=-0.76% SPY=+0.63% abnormal=-1.39%
2026-05-10 16:34:31 | INFO    | process_company:2777 |     AR: -1.39% (neutral)
2026-05-10 16:34:33 | INFO    | process_company:2928 |     ✓ [FULL|Q=100|tier=gold|gold=True|decum=False|qa=False|path=Revenue Trend → Margin Structure → Cash ]: 2592 chars
2026-05-10 16:34:33 | INFO    | process_company:2764 |   ▶ 10-Q | 2024-06-29 | 0000320193-24-000081
2026-05-10 16:34:33 | DEBUG   | fetch_abnormal_return:730 |   AR AAPL: stock=-1.65% SPY=+0.02% abnormal=-1.66%
2026-05-10 16:34:33 | INFO    | process_company:2777 |     AR: -1.66% (neutral)
2026-05-10 16:34:35 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 2/5
2026-05-10 16:34:35 | INFO    | scrape_text_sections:1611 |     Final sections: 2/5 | MD&A: poor (85 chars)
2026-05-10 16:34:35 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 2193 chars
2026-05-10 16:34:35 | INFO    | process_company:2823 |     Metrics: 46 | decum: True | text_sections: 2
2026-05-10 16:34:35 | WARNING | process_company:2840 |     ✗ SANITY BLOCK: 2 rule(s). Action: BLOCK.
2026-05-10 16:34:35 | INFO    | process_company:2850 |     ⚠ Liquidity paradox: CR=0.95 + Cash=$25.6B | Risk=HIGH
2026-05-10 16:34:35 | WARNING | process_company:2955 |     ✗ LLM skipped — sanity BLOCK
2026-05-10 16:34:35 | INFO    | process_company:2764 |   ▶ 10-Q | 2024-12-28 | 0000320193-25-000008
2026-05-10 16:34:36 | DEBUG   | fetch_abnormal_return:730 |   AR AAPL: stock=-3.55% SPY=-0.17% abnormal=-3.37%
2026-05-10 16:34:36 | INFO    | process_company:2777 |     AR: -3.37% (negative)
2026-05-10 16:34:38 | INFO    | scrape_text_sections:1588 |     Strategy-1 sections: 2/5
2026-05-10 16:34:38 | INFO    | scrape_text_sections:1611 |     Final sections: 2/5 | MD&A: poor (85 chars)
2026-05-10 16:34:38 | INFO    | enrich_thin_mda:1182 |     V18-7 Deep enrichment: 85 → 2193 chars
2026-05-10 16:34:38 | INFO    | process_company:2823 |     Metrics: 46 | decum: True | text_sections: 2
2026-05-10 16:34:38 | WARNING | process_company:2840 |     ✗ SANITY BLOCK: 2 rule(s). Action: BLOCK.
2026-05-10 16:34:38 | INFO    | process_company:2850 |     ⚠ Liquidity paradox: CR=0.92 + Cash=$30.3B | Risk=HIGH
